txt,result
전 남사 친 쭈삼 먹다가 필수 코스 인 볶음밥 주문 했습니다 훈훈한 비주 얼 알바생 하트 모양 볶아주고 “ 맛있게 드세요 ” 라는 남사 친 “ 보고 웃는거 봤어 ” 사진 찍었습니다 며칠 훈훈한 알바생 다시 보고싶어서 남사 친 쭈삼집 방문 했습니다 그날 훈훈한 아르바이트생 오빠 테이블 볶을 밥 만들려는데 남사 친 아르바이트생 오빠 돌려 보내고 직접 밥 볶겠다고 하며 하트 모양 볶음밥 만들었습니다 직후 “ 만든건 안 찍어 ” 이후 연락 빈도 늘 은 같았습니다,1
 26 취준생 고민 녀 입니다 취업 은 번번이 연애 에도 실패했는데요 남사 친 데리 타로 보러 갔습니다 타로 며 사주며 사기 생각 했던 남사 친 은 솔직한 마음 은 보고 싶었는지 주머니 돈 꺼내더라고요 그렇게 남사 친 은 연애 운 보게 되었는데요 타로점 결과 ‘ 가까이 있는 사람 좋아하는데 애써 모른 하고있다 ’ 받았습니다 직후 남사 친 은 공감 하며 해당 타로 집 궁합 보러 다시 한번 가자고 했습니다,1
 호떡 좋아하는 고민 녀 입니다 호떡 삶 낙인 데 호떡 찾기 힘든 시기 남 직원 호떡 좋아하는걸 알았는지 호떡 사다주었습니다 주말 남 직원 호떡 가게 사진 찍어서 연락 왔습니다 굳이 거리 에도 먼저 연락 해주었고 호떡 믹스 호떡 누르 개 사주겠다고 연락 왔습니다,1
2 엿을때 1 다니던 단골 피방 공사 한다고 해서 아오 피방 어디가 지 이러면서 피방 다니다가 달 만에 단골 피방 공사 끝나서 갓 지 근데 원래 알바 하던 누나 있는데 진심 모모 타 닮앗어 누나 남자친구 잇어서 남친 생키 키 누나 비슷함 160 될 까말까 근데 누나 말고 처음 보는 알바 누나 있는거야 원래 잇던 알바 누나 보다는 얼굴 은 딸리지만 예쁘긴 햇음 제일 중요 몸매 쩔엇음 보자마자 반해 가지 피방 출근 듯이 학교 끝나자마자 모아서 맨날 갓 지 2 주 피방 끝나서 몸매 쩌 누나 한테 이름 말 꺼주세여 할려고 햇 는데 갑자기 누나 먼저 한테 이름 부르더니 꺼줄까 이렇게 물어보는거야 웃으면서 꺼주세요 그랫 지 기분 겁나 좋앗 음 이후 친해 졋 지 피방 들어갈 누나 한테 인사 하면 누나 안녕 인사 해줫어 이건 친해진게 아닌가 하여튼 이름 불러주니깐 좋앗 음 이제 본론 들어감 아직도 기억 추석 연휴 첫날 이엇어 시골 안가거든 친가 외가 서울 잇거든 집 존나 심심하니깐 친구 한테 연락 해서 피방 가자고 햇 지 근데 시골 가고 명 안 간거야 개 피방 갓 누나 없는거야 하긴 추석 누나 갓겟 지 생각 친구 겜 하는데 누나 온거야 누나 보고 반가워가지고 성격 소심해가지고 겜 하다가 가서 인사 하기는 그랫음 ;; 그렇게 겜 하다가 끝나서 누나 한테 꺼 달라 말 하러 가는데 누나 보더 안갓 물어 보는거야 안갓 친가 외가 서울 계셔서 대답 햇 지 그러니깐 누나 내일 피방 오겟네 그러길래 당연하죠 대답 햇 지 솔직히 처음 누나 물어보고나서 누나 안가세여 물어보고싶 엇 는데 용기 안 나가지고 기분 좋게 인사 나왓어 날 평소 똑같이 겜 잇 엇 는데 옆 자리 잇던 어른 보고 자리 옮겨주면 안되냐고 물어보길래 옮겨줫 지 어른 사이 잇 엇 거든 지네 붙어서 겜 할려고 물어본거 옮기고 나서 컴터 전원 키 의자 앉아서 기다리는데 누나 옆 자리 의자 앉더니 옮겨 준거야 물어 봣 옮겨 줫어 대답 햇 지 그러니깐 누나 웃으면서 갓 추석 연휴 끝나고 누나 안 나오는거야 ;; 개 허탈 햇음 ;;,0
두 달 매일 연락 햇음 사귀기로 햇음 근데 잠수 이별 당함 영문 모른 채 전화 씹으니까 그러는지 이유 라도 알려 달라 삼일 매달 는데 나중 한다는 변명 날 보험 삼는것 같았음 알겠다고 대충 대답 어거지 행복 회로 돌리다가 받아드럈 지 .. 질린거 맞고 끝난가라고 근데 난 질려서 귀찮게 굴어서 싫어진게 마음 아파서 차단 연상 되는 모든 마음 찢어질거 같 드 라 오늘 에서야 차단 풀 카톡 봤음 .. 6 개월 지났는데 .. 아직도 덜 나았음 .. 유사 얀애 많이 해봤는데 이렇게 힘든데 사귀면 .. 무서워,0
"친구 종로 술 먹고 있으니 놀러 오라 보는 얼굴 있었어 전 키 크고 얼굴 동그랗고 안경 쓴 사람 좋아해요 아무래도 호감 가는 보니 자꾸 눈 가더라고요 집 가는 길 같아서 택시 탈수 있었어요 나를 내려주고 택시 떠나고 난 집 향 했죠 열 셀 날 찾으면 사귈 걸음 집 향 했죠 "" 가시 봐요 "" 였어요 전 기뻐서 돌고래 소리 질렀어요 "" 이야기 더할까 "" 이야기 보니 좋아졌어요",1
"학원 소수 녓을때 한창 싸이 잘나갔음 근데 학원 은 인원 수가 적다 보니 두루 두루 친했음 근데 학원 에서는 청 점 .. 학원 친구 학원 찍은 사진 움짤 사진 몇개 묶어서 파일 만들어서 싸 올렸는데 .. 친구 홈피 여자애 일진 댓글 지금 은 생각 하면 오글거리지만 .. "" 완전 스타일 이다 소개 "" 이렇게 댓글 단거 그거 보고 기분 좋아서 미니홈피 들어가 봤는데 존예 예쁜거 인거 친구 걔 연결 해줄 기다리다가 전화번호 알려줘서 문 자질 하다가 당시 피쳐폰 걔 가출 한상태 였음 1 봄 5월 학교 자퇴 했었고 .. 말로 돈좀 모이 만나자고 말 해서 기다리기 힘들었지만",1
존예 여친 썰 몇개 월후 이야기 입니다 안 읽어도 상관 ... 편하게 체 하겠습니다 본인 당시 26 ... 7 살 연하면 19 살이 지 않느냐 하실수 있는데 그런 걱정 안 하셔두 됩니다 .. 당시 아마 10월 달 이었을건데 당시 여친 헤어진지 안되고 교대근무 많이 힘들었음 ... 당시 집 쉬는 날 이었는데 집 에만 있기 심심해서 작업 하러 집 근처 카페 갔었음 ... 당시 복장 버핏 티셔츠 무릎 늘어난 츄리닝 슬리퍼 끌 갔었음 카페 도착 아아 케이크 시켜서 2 층 가서 구석 진 자리 앉았음 나서 노트북 펨코 동시 돌리는 고난 작업 했음 계속 열중 있는데 몸풀때 건너편 여자 눈 마주침 근데 눈 피 하더라 런가 보다 있었는데 계속 나를 쳐다보는게 느껴지는거 ... 다른데 보는 보 계속 쳐다보더라 ... 지라 생각 들었는데 있다가 자리 정리 1 층 내려가는거 가는가 보다 하고있었는데 갑자기 다시 올라오더니 한테 직진 하는거 ... 근데 여자 ...' 거기 파는 쿠키 쪽지 접은거를 주더 라  하니까 한테 휙 주고 가버렸음 ... 1분 아무 생각 안 들다가 쪽지 확인 해봤음 .. 거기 내용 은 스타일 셔 그러는데 여친 없으시면 연락 주세요 010 -....' 솔직히 당황 하면서도 좋았었음 .. 나도 집가서 있다가 카톡 했었음 대충 내용 쿠키 주 신분 맞으실까 넵 맞아요 시작 해서 덕분 쿠키 먹었다 이야기 하다가 걔 먼저 나이 이야기 했음 나이 되세요 26 살 입니다 쪽 은 ... 19 살이 머리 몽둥이 대 얻어 맞은 느낌이었음 19 살 .... 마음속 끝났네 ...' 했음 ... 고등학생 시구 나이 차이 많이나네요 식 보냈었는데 걔 오빠 성인 되는데 달려 주시 면 안 돼요 하더라 19 살의 노빠꾸 어질어질했음,1
그날 기분 안좋았어 굳이 티 려고 건 아니지만 목소리 티 났나 여보세요 했는데 목소리 이러더니 택시 타고 와가지고 베 라 패밀리 에다가 좋아하는 맛 담아가지고 집 앞 가지 온거야 근데 라도 쌩얼 일까봐 집 앞 두고 카톡 갔어,1
 17 살 여고생 입니다 전 생일 날 책상 수제 캐릭터 케이스 있더라구요 생일 귀찮아서 알림 설정 하지 않았기에 친구 선물 줄알 친구 한테 물어봤지만 친구 아니더라구요 책상 있어서 해당 케이스 끼 등교 했는데 같은 반 남학생 학생증 통해 생일 기억 해놓고있다가 직접 케이스 만들어서 선물 했다고 하더라구요 날 친구 같은걸 만들고 있더라구요,0
눈 뜨자마자 한테 연락 어제 자라고 못 해줘서 미안하다 그러고 음성 일상 보고 하는데 일상 궁금하다는데 썸,1
유럽 여행 갔을 해리포터 완전 팬 런던 해리포터 스튜디오 갔었는데 거기 가는 셔틀버스 우연히 옆 앉게 남자 애가 있었어 영국인 였음 걔 친구 왔는데 버스 스몰톡 했는데 어쩌다 보 거지같은 영어실력 도착 할 얘기 안 끊기고 계속 근데 도착 해서도 친구 버리고 다님 사진 찍어주고 다시 도착 해서 인사 가려는데 저녁 먹고 싶다는거야 저녁 먹고 런던 야경 구경 숙소 데려다 줬는데 가냐고 이런저런 얘기 다가 런던 7일 있었는데 5일 계속 만나게 마지막 날 공항 바래다주고 고백 같은 말 오글거리는데 난날 옆 자리 앉은거 한테 행운 였고 날 잊어도 보낸 평생 잊을수 없을거라고 누가 날 평생 억 한다는 데 설렘 근데 지구 반대편 뭘 할수도 없자나 글 떠나기 전날 알았는데 6 살 차이 나고 미자 였음 걍 했는데 인생 잊을 수 없는 1 주일 평생 예쁘다는말 걔 한테 들었어,0
"여잔 데 가한테 맞고 울었던 적도있고 물어 걔 진심 빡쳤던 적도 물어 피남 ... 모든 썸 타던 기간 일어난 일임 썸 아닌거 같지 나도 어쨌던 키 작은 편 이란 말 당시 154 였는데 현재 157.8 반 만큼 작 은애 없었어 남자 맨날 놀리고 여자애 맨날 놀리고 아무렇지 않은 했지만 딴엔 상처 받고 콤플렉스 였 단말 근데 전남친 181 이였어 키 ... 지금 은 컸더라 같은 학교 라서 맨날 마주침 그날 걔 "" 작다 "" 이러면서 계속 놀려서 나도 "" 아니라고 "" 이러고 몇번 받아주다가 화가 는거야 콤플렉스 자꾸 건드리니까 나도 받아주다가 빡쳐서 "" 시 래 "" 이러고 표정 완전 구기 자리 걸어가려고 하는데 걔 잡아서 안으면서 허리 구부리 귀 에다 "" 작잖아 "" 이랬음 있는데 쉬는시간 였는데 심장 쿵쾅 쿵쾅 거리 설레서 "" 숨 뱉는 소리 "" 이러고 자리 천천히 걸어감 난 보던 일이 한테 일어날줄 몰랐음 .. 맨날 때리고 안 그러던 애가 ..",1
초 5 지금 좋아했던 날 생각나면서 쓸데없이 의미 부여 하다가 나중 실망했던 날 떠오르고 밤 마다 울면 이제 포기 하자 생각 했는데 막상 날 마주치면 마냥 좋기만 .... 67년 많이 챙겨주고 힘들어 할 마다 위로 해주고 그랬는데 동생 선 은 절대로 안 넘었어 은근 슬쩍 떠봐도 헛소리 하지 말라면서 들은 체 안 .. 나쁜 놈 .. 아무튼 저런 얘기 할 짝 남은 끄덕 끄덕 들어줬어 근데 3 맨날 울어가지고 짝남 우는거 싫어한단 말 이야 얘기 하다가 말고 우는거 보기 싫지 이랬는데 짝남 때문 우는건데 뭐라해 이러면서 눈물 닦아 줬는데 설레고 ... 열 받았어 그만 좋아할 법도 지겹도록 짝남 때문 기분 하루 에도 몇번 왔다 갔다 포기 하자 포기 하자 싶다가도 전화 오면 심장 빨리 뛰고 ... .. 짓 그만하고 싶어서 차이더라도 얘기 하려고 했던거였어 십분 얘기 하다가 이제 오빠 얘기 해보라고 했는데 처음 한테 말 그동안 연락 은 피했냬 이제 안 만나면 안 좋아하게 될 같아서 그랬다고 했더니 좋아하는 사람 남친 생긴줄 알았다는거야 3 맨날 대학 합격 하면 남자친구 사겨서 맨날 맨날 손잡고 데꼬 다닐거라고 했거든 .... .. 해본 말이였어 ... 희망사항 .... 사실 떠 본것도 있긴 .. 아무튼 그런거 아니라고 했더니 뜸 들이다가 웃으면서 하는 말 12 살때 였으면 좋아한 은 아니네 이러는거야 ... 잘생긴 놈 저렇게 말 심장 튀어나올 빨리 뛰고 맥주 한두 잔 마신게 다인 데 얼굴 아주 터질거 빨개진게 나도 느껴지고 짝 남도 길게 얘기 했는데 간단하게 말 하자면 1 이였을 그니까 짝남 따지자면 2 좋아했대 근데 3 얘기 못 했고 막상 입시 끝나니까 3 성인 얘기 못 했고 이제 군대 가야 돼서 얘기 안 하려고 했대 고딩 일부러 몇번 떠본 알 있었다는데 일부러 선 은거 였대 고딩 사겨 봤자 못 챙겨줄 같았고 솔직히 말 해서 순위 아니고 대학 먼저 였대 말 듣고 쪼꼼 서운 .. 항상 였는데 으 ... 아무튼 이렇게 자주 만나면서 지내는 나쁘지 않겠다 싶었는데 갑자기 연락 안보 만나자고도 안 하니까 애가 탔대 아오 무시 할 그랬나 말 듣고 속이 후련하던지 근데 문제 아직 몇개 남긴 했지만 올해 군대 가면 힘들지 않겠냐 면서 뭐라고 엄청 말 많이 했는데 들어 보 결론 은 군대 가있는 맘 변해서 헤어지자 하면 어쩌나 하는거였음 귀엽지 않냐 웃으면서 말 했더니 걱정 안해 .. 이러길래 좋아했는데 오빠 고작 1-2년 가있는다고 맘 변하겠냐 이러면서 얘기 음 .. 헤어진다 그거 걱정 해서 지금 안 사귈거냐고 아직 몇개 남았다매 손잡고 다니 자고 이런저런 말 했 엉 .... 무릎 이라도 꿇었어야 됐나 지 금보 마지막 아주 매달리네 누가 군대 가는줄 .... 아무튼 오빠 계속 얘기 하다가 사귀기로 했어 집 데려다 줄 진작 말 하지 그걸 안말해 이러면서 일부러 툴툴대면 먼저 앞 갔더니 이리 와내가 이러는거야 오빠 이러니까 서는 손 잡더니 이제 데리 다녀 이럼 솔직히 걱정 되긴 나중 생각 하자고 지금 하고싶은 안 하는건 선택 이니까 후회 몫 헤어지더라도 경험 ..,1
체육대회 계주 하다가 넘어져서 무릎 손 까졌는데 썸남 한테 묻지도 따지지도 않고 걱정 하는 표정 나를 업어서 양 호실 데려갔을 설렜어,0
 최근 이사 27 살 고민 녀 입니다 최근 동네 주민 여성 동료 1 명과 남성 동료 1 명 3 명 이서 카풀 하게 되었습니다 카풀 할 마다 저만 조 수석 태우고 성 동료 태우고 출근 했습니다 퇴근 할 집 지나쳐 성 동료 먼저 내려주고 마지막 내려주었습니다 타겠다고 말 먼저 했고 남 직원 은 일부러 조 수석 태운거고 노래 선곡 한다는 칭찬 해주었습니다,1
저번 주 오션월드 갔는데 파도풀 놀다가 안전 요원 파도 올 마다 잠수 하는게 멋진거야 근데 .. 쳐다보고있었는데 훈훈하게 생긴 안전 요원 눈 마주 치고 안전 요원 파도오는거 쓱 보더 보고 살짝 웃고 잠수 하는데 멋졌어,0
"중학교 초 6 아무튼 조 별로 손 제일 큰 사람 그런거 찾는 있었는데 동갑 중 보다 손 작은 사람 본 적 없을 겁나 작아서 "" 난 안 돼 .."" 중얼거렸는데 같은 조인 남자 애가 쪽 돌아 보면서 "" "" 묻길래 손 비비면서 "" 손 작아서 .."" 하니까 "" 작은데 "" 책상 위로 팔꿈치 대고 손 대보 라는 식 해서 봤는데 "" 작네 "" 갑자기 싱긋 웃으면서 손 깍지 아무 없던 였어서 난 당황 했는데 걔 그렇게 다행히 아무 한테 관심 안 가져줘서 앞 큰 소리 나기 전 걔 손 잡고 계속 쳐다봤었음 지난 지금 생각 날 웃는 예뻤어 .. 잡았을 멈춘 느낌 인생 제일 설렘 가득했던 손 잡기였어",0
초 1 여자애 좋다면서 나중 결혼 하자고 쫓아다니고 난 부끄러워서 걔 피하 결혼 안 한다고 했고 남중 테크 탄 아무 날 좋아해주지 않았지 …,0
좋아하는 사람 앞 난 고개 숙이고 끄적 있고 사람 은 되게 바빴는데 갑자기 멈추더니 조심 스럽게 머리 쓰담 쓰담 ... 사람 손 손 얹었는데 손 가위 인거 사람 은 보였어 손 모양 사람 은 그거 보고 가위바위보 하자고 웃는거야 설레냐면 저번 사람 한테 주먹 보 인적 있는데 손 가위 해서 일부 져 생각나서 딴엔 많이 설레었음 이쁘다 해주고 그랬는데 지금 은 싫어하는거 같은데 그것 아닌거 난 아직도 설렘,0
키 작아서 장난 많이 치는데 놀려서 “ 아아 키 아아 ” 탄식 하고있는데 남자 애가 와서 “ 근데 키 작으면 귀엽지 않나 ” 해줌 .... 고맙다 놈,0
동기 님 길 걷고 있었는데 까만 차가 멈추지 않고 달려오더라고 앞 가고 있었어서 옆 피 하려 했는데 동기 님 엄청 놀라서는 “ 아어차 위험해 ” 양팔 붙잡고 이리저리 휘 젓더라 차도 우왕좌왕 동기 님 나도 우왕좌왕 상황 은 웃겼는데 설렜어,0
지난 긴데 오랜 금요일 휴가 내고 고향 있는 동네 은행 갔다가 첫 눈 반해 버린 분 있었어 할머니 할아버지 한테 싹싹하게 웃으면서 알려주는게 이뻐 보이던지 난 직장인 통장 만들러 간거였거든 이야기 나누고 통장 만들고 나왔는데 하루 종일 생각나는거야 살면서 번호 한번 따 본 적도 없는데 은행 앞 무작정 기다렸어 3시간 기다리니 퇴근 하더라 솔직히 말 했어 이상형 시라구 번호 달라 나서 주 주말 만났어 리액션 은 자신있는 편 남 이야기 듣기 하는데도 이렇게 매력 터지는 사람 난건 처음 이었어 2 번째 만남 돈 센다고 손 부르틀까봐 핸드 크림 사주고 4 번 째 꽃 좋아한 대서 드라이브 헤어질 작은 안개꽃 한송이 주고 지금 생각 해보니 부담스러웠을수도 있겠다 펀드 들어줬 지형 직원 추천 이름 적어주는 신영 배당 주 펀드 대학생 재테크 관심 많아서 강의 듣고 그랬거든 튼 이야기 통한 같았고 이제 고백 남은거 같아서 분위기 괜찮은 걸으면서 물어봤어 생각 하냐구 근데 고민 해봤는데 나쁜남자 스타일 좋아한대,0
 4년 차 직장인 30 살 남자 입니다 회사 구내식당 많은 남 직원 흠 모하 미모 영양사 계십니다 호감 은 있지만 대놓고 표현 적은 없었습니다 여느 배식 받고있었는데 눈 충혈 되어있네요 연어구이 드릴게요 감사합니다 피곤했나 보네요 몰래 드리는거니깐 남기지말고 드세요 그렇게 기분 좋게 식사 구내식당 게시판 연어 안남 기고 먹었습니다 치킨 먹고싶어요 적었습니다 며칠 게시판 적은 치킨 가스 나왔습니다 게시판 가자미 조림 가능할까 적었습니다 주 가자미 조림 나왔고 그날 맛있게 먹고있는데 영상 사가 직접 맛있게 먹고있는지 묻고 매주 식단 짜기 힘든데 도움 되었다 못 먹는게 있으면 말 해주세요 했습니다,0
지금 절 혼란 스럽게 하는 남자 명 있어요 술자리 동석 하면 바람 쐬러 나가자면서 밖 불러내 머리 쓰다듬고 손 잡아요 술자리 이후 카톡 종종 했고요 근데 따로 만난 적 없어요 말 정확한 약속 은 잡지 않아요 썸 맞나요 카톡 술자리 에서는 썸 인 행동 근데 따로 만나는 피하 눈치 예요 여자 노는데 그렇다고 모든 여자 스킨십 하지는 않더라고요,0
선배 님 썸남 있어요 자주 만나서 얘기 데이트 자주 보고 싶은데 항상 먼저 만나자고 하네요 이러니 ‘ 나를 좋아하긴 ’ 라는 생각 들어요 만나면 재미있게 놀긴 하는데 먼저 만나자고 안 하는 남자 … 썸남 맞아요,0
 26 살 직장인 여자 입니다 지금 시국 시국 인지 라 회사 집 하루 일과 반복 적 인 일상 불쑥 불쑥 나타나는 존재 있습니다 ” 유미 352 번째 3 번째 352 번째 352 번 째 355 번째 진자 나왔고 감염 경로 역학 조사 중이 래 출근 할 출근 해서도 마스크 꼭 쓰고 꼭 94 알겠지 ” ” 유미 356 번째 진자 나왔대 진자 동선 아파트 앞 사거리 건물 있더라고 오늘 퇴근 하면 아파트 후문 들어와 알겠지 ” 밤 12시 에도 “ 유미 밤 357 번 째 358 번째 진자 나왔어 358 번째 진자 나왔어 근데 진자 동거인 무려 5 명 ” 오빠 덕 긴급 재난 문자 확인 하지 않아도 동네 상황 알 수 있었습니다 그러던 날 평소 퇴근 집 가는 중 이었어요 코너 꺾으려던 순간 오빠 “ 진자 동선 이야 오늘 길 가자 데려다 줄 ” 하며 데려다 주었습니다 그날 동네 오빠 에스코트 받으며 안전 귀가 했습니다 집 돌아오니 마침 오빠 톡 왔고 톡 확인 했습니다 ” 유미 마스크 있어 ” ” 마스크 100 장 주문 했는데 사이즈 안 맞네 가져라 ” 하며 마스크 선물 해줬는데 본인 사이즈 선물 해줬습니다,1
은 여친 만났냐 평범하든 특별하든 썰 궁금하네 소개팅 동호회 스터디 학교 회사 동료 난 영어 스터디 모임 만났는데 미드나 영화 보면서 유용한 대사 단어 구문 같은거 체크 공부 하는 직딩 스터디 남녀 골고루 섞여있었음 남녀 모이는 불순 목적 오는 남자 새 키 많음 공부 하는 노는거 유도 모임 주최 하려고하고 암튼 꼭 그런 들있음 역시 솔 이었고 백 울 렁 증도 있고 여자 사귈수나 있을까 생각 짝사랑 해봤음 나이 20 대 후반 바라보는 나이 .. 공부 하러 스터디 서는 나도 남자 인지 라 맘 에드 여자 당연히 있었지만 굳이 티 안내 해볼까 생각 안함 공부 했음 반해 대부분 남자 은 여자 마다 추파 던지면서 작 업거는게 뻔히 보임 톡 에서도 들이 대고 개인 톡 으로도 들이 대고 난 그런게 한심해 보였음 난 할 일만 따로 1 대 1 카톡 안함 스터디 에서는 오래 보니 얘기 친근하게 주고받을 됐지만 따로 연락 은 안 했음 근데 날 마음 두던 여자 카톡 생일 이라고 알림 떠있더라 스터디 가는 길 올리브영 5천원 짜리 핸드 크림 사서 감 생일 축하 한다고 핸드 크림 주 엄청 좋아하더라 그렇게 선물 주고 스터디 진행 했음 끝나고 집 에가 톡 오더라 고맙다고 밥 사겠다고 말 하는거겠지 담 밥 먹자 대화 끊음 근데 스터디 따로 밥 먹자고 하네 얼떨결 가서 밥 먹었지 나야 거절 할 이유 없으니까 밥 먹고 커피 쐈음 여자 담 보고 밥 달래 난 그렇게 서로 그다음 은 밥사 식 만남 이어지더라 어느새 스터디 안 우리둘 썸 타는 사이 분위기 우리둘 밀어주는 분위기 보통 스터디 나면 집가는 지하철 쪽 갔는데 한두 명 자리 피 해주더니 가는 모양 나옴,1
클럽 만난 남자 담배 피우기 위해 밖 나왔어요 담배 입 무는데 입 문 담배 휙 채 가더니 본인 피우더군요 입술 닿은 담배 남자 입 닿는 보니 기분 왠지 묘 시그널 맞나요,0
